,1,2,3,4,5,6,7,8,9,10,11,12,13
Indiana,0.9436,0.6206,0.4291,0.5285,0.0786,0.3010,0.6711,0.1420,#N/A,0.3446,0.1469,0.5512,0.5512
Illinois,0.8003,0.9757,0.3472,0.6070,0.5085,0.3010,#N/A,0.3903,0.3472,0.6685,0.1879,0.4573,0.5057
Iowa,0.9684,0.4886,0.6528,0.9618,0.2961,0.6990,0.4573,#N/A,0.8793,0.6554,0.7352,0.8793,0.4687
Maryland,0.9554,0.7777,0.5483,0.0606,0.1236,0.0166,#N/A,0.2695,0.1207,0.1766,0.0786,0.4488,0.3712
Michigan,0.4801,0.9203,0.9878,0.5876,0.8764,0.7257,0.7328,#N/A,0.8023,0.9561,0.8531,0.7137,0.5285
Michigan_State,0.8612,0.6015,0.9513,0.9735,0.9444,0.8448,0.2672,0.8580,#N/A,0.5652,0.9214,0.2223,0.7210
Minnesota,0.1070,0.7467,0.9491,0.6762,0.2814,0.4829,0.4744,#N/A,0.1977,0.0776,0.2648,0.5427,0.3499
Nebraska,0.7210,0.9769,0.2790,0.9080,0.4915,0.4772,0.5256,0.5737,0.7281,0.4348,0.6889,#N/A,0.5313
Northwestern,0.9652,0.9761,0.3930,0.9007,0.7186,0.2743,0.5427,0.4263,#N/A,0.5932,0.8564,0.3060,0.4943
OSU,0.8431,0.9966,0.9915,0.9765,0.9214,0.9834,0.8720,0.9224,#N/A,0.9224,0.8121,0.7777,0.4715
Penn_State,0.6341,0.9313,0.7712,0.9044,0.9568,0.6990,0.1280,0.7305,0.6528,0.4068,#N/A,0.2863,0.2790
Purdue,0.3958,0.9460,0.3085,0.5793,0.0556,0.5171,0.0874,#N/A,0.2719,0.3315,0.1436,0.1207,0.4488
Rutgers,0.9313,0.7234,0.2288,0.8216,#N/A,0.1552,0.3289,0.9694,0.1070,0.0439,0.3111,0.8413,0.6288
Wisconsin,0.1552,0.9708,0.9863,0.9606,0.7039,0.5228,0.9126,0.6097,0.8930,0.8234,#N/A,0.6940,0.6501
