,1,2,3,4,5,6,7,8,9,10,11,12,13
Indiana,0.950747284,0.9091786609,0.4291371153,0.4743713641,0.02871655982,0.2097920916,0.5596176924,0.0438977515,#N/A,0.3263552203,0.2287840875,0.4886031997,0.3212215288
Illinois,0.7875233019,0.9756625622,0.3472124984,0.7922593542,0.5931728081,0.4545056533,#N/A,0.4319433953,0.4829077062,0.6179114222,0.1280380799,0.4772156986,0.6042201163
Iowa,0.9832662046,0.4886031997,0.6527875016,0.9561022485,0.2419636522,0.5454943467,0.3957798837,#N/A,0.8564003562,0.6736447797,0.6069692851,0.7351851649,0.3848156742
Maryland,0.9471533059,0.7776515016,0.5483242062,0.05020624699,0.1765556173,0.00596368807,#N/A,0.2862798511,0.1435996438,0.13105274,0.02918843498,0.5113968003,0.3212215288
Michigan,0.4157191957,0.920307484,0.9877755273,0.6813326417,0.8234443827,0.6762158162,0.373942817,#N/A,0.5539764231,0.8658839157,0.7712159125,0.5596176924,0.1728769893
Michigan State,0.7975373487,0.6014657528,0.9512547019,0.9853182397,0.9274615249,0.8876806805,0.626057183,0.9561022485,#N/A,0.7039219855,0.970811565,0.2016578283,0.8674216832
Minnesota,0.2193809249,0.7467462687,0.9490503009,0.762474738,0.373942817,0.5567984968,0.531313243,#N/A,0.4460235769,0.04258654168,0.3930307149,0.5227843014,0.3712398234
Nebraska,0.6622353129,0.9768614538,0.2790337662,0.9126320884,0.4068271919,0.423535425,0.468686757,0.5959419666,0.6097131291,0.2960780145,0.6787784712,#N/A,0.6151843258
Northwestern,0.2566939784,0.9760678604,0.3930307149,0.8749280644,0.626057183,0.3237841838,0.6042201163,0.4040580334,#N/A,0.631456834,0.7512952744,0.2578461108,0.3957798837
OSU,0.6604059994,0.9966067476,0.9914770058,0.9907919197,0.9712834402,0.9940363119,0.9586928169,0.966800038,#N/A,0.9574134583,0.8719619201,0.7983421717,0.8271230107
Penn State,0.5666521667,0.9313226448,0.7712159125,0.8271230107,0.1501677278,0.7902079084,0.04130718313,0.7137201489,0.5170922938,0.368543166,#N/A,0.4403823076,0.1325783168
Purdue,0.2904252405,0.9459884831,0.3085375387,0.6813326417,0.07253847514,0.4432015032,0.1325783168,#N/A,0.3902868709,0.3820885778,0.2487047256,0.2648148351,0.6787784712
Rutgers,0.9616364296,0.7233616191,0.2287840875,0.8596105881,#N/A,0.1123193195,0.4403823076,0.5680566047,0.09680048459,0.1341160843,0.3212215288,0.05887524275,0.6787784712
Wisconsin,0.2118553986,0.970811565,0.9863479598,0.9554345372,0.7580363478,0.576464575,0.8674216832,0.5680566047,0.9031995154,0.86894726,#N/A,0.7421538892,0.6287601766
