,1,2,3,4,5,6,7,8,9,10,11,12,13
Indiana,0.9436,0.6206,0.4291,0.5285,0.0786,0.3010,0.6711,0.0993,#N/A,0.2375,0.1518,0.5057,0.5085
Illinois,0.8003,0.9757,0.3472,0.6070,0.5085,0.3010,#N/A,0.4096,0.4013,0.6839,0.1766,0.5512,0.6315
Iowa,0.9684,0.4886,0.6528,0.9618,0.2961,0.6990,0.4573,#N/A,0.9149,0.7625,0.8482,0.9160,0.4972
Maryland,0.9554,0.7777,0.5483,0.0606,0.1236,0.0166,#N/A,0.3060,0.0851,0.1803,0.0650,0.4943,0.3315
Michigan,0.4801,0.9203,0.9878,0.5876,0.8764,0.7257,0.7328,#N/A,0.8197,0.9284,0.8482,0.7039,0.4432
Michigan_State,0.8612,0.6015,0.9513,0.9735,0.9444,0.8448,0.2672,0.9007,#N/A,0.5540,0.9350,0.2288,0.7861
Minnesota,0.1070,0.7467,0.9491,0.6762,0.2814,0.4829,0.4744,#N/A,0.1803,0.0446,0.1518,0.4488,0.2839
Nebraska,0.7210,0.9769,0.2790,0.9080,0.4915,0.4772,0.5256,0.7257,0.7712,0.4460,0.6965,#N/A,0.5028
Northwestern,0.9652,0.9761,0.3930,0.9007,0.7186,0.2743,0.5427,0.2743,#N/A,0.5228,0.7840,0.2181,0.3685
OSU,0.8431,0.9966,0.9915,0.9765,0.9214,0.9834,0.8720,0.9182,#N/A,0.9554,0.8234,0.7712,0.5568
Penn_State,0.6341,0.9313,0.7712,0.9044,0.9568,0.6990,0.1280,0.6940,0.5987,0.4772,#N/A,0.2961,0.2139
Purdue,0.3958,0.9460,0.3085,0.5793,0.0556,0.5171,0.0874,#N/A,0.2288,0.3161,0.2160,0.0840,0.4915
Rutgers,0.9313,0.7234,0.2288,0.8216,#N/A,0.1552,0.3289,0.9727,0.1311,0.0716,0.3035,0.8969,0.6685
Wisconsin,0.1552,0.9708,0.9863,0.9606,0.7039,0.5228,0.9126,0.5904,0.8689,0.8197,#N/A,0.7819,0.7161
