,1,2,3,4,5,6,7,8,9,10,11,12,13
Indiana,0.9436,0.6206,0.4291,0.5285,0.0786,0.2288,0.6788,0.0920,#N/A,0.3367,0.1957,0.5342,0.5199
Illinois,0.8003,0.9757,0.3472,0.6070,0.5085,0.3161,#N/A,0.3552,0.3552,0.6633,0.1485,0.4801,0.5057
Iowa,0.9684,0.4886,0.6528,0.9618,0.2961,0.6839,0.4404,#N/A,0.8749,0.6633,0.7398,0.8674,0.4432
Maryland,0.9554,0.7777,0.5483,0.0606,0.1236,0.0161,#N/A,0.2695,0.1251,0.1485,0.0517,0.4658,0.3958
Michigan,0.4801,0.9203,0.9878,0.5876,0.8764,0.7625,0.5681,#N/A,0.7422,0.9377,0.8043,0.6288,0.3659
Michigan State,0.8612,0.6015,0.9513,0.9735,0.9444,0.8749,0.4319,0.9080,#N/A,0.6315,0.9483,0.2331,0.7881
Minnesota,0.1070,0.7467,0.9491,0.6762,0.2814,0.6015,0.4432,#N/A,0.2578,0.0509,0.2602,0.5199,0.2961
Nebraska,0.7210,0.9769,0.2790,0.9080,0.4915,0.4291,0.5568,0.5821,0.7305,0.3685,0.7257,#N/A,0.5568
Northwestern,0.9652,0.9761,0.3930,0.9007,0.7186,0.2375,0.5596,0.4179,#N/A,0.6015,0.8531,0.2743,0.4943
OSU,0.8431,0.9966,0.9915,0.9765,0.9214,0.9839,0.9056,0.9520,#N/A,0.9491,0.8515,0.7669,0.6341
Penn State,0.6341,0.9313,0.7712,0.9044,0.9568,0.7712,0.0944,0.7305,0.6448,0.3985,#N/A,0.3712,0.2119
Purdue,0.3958,0.9460,0.3085,0.5793,0.0556,0.3985,0.0755,#N/A,0.2695,0.3367,0.1469,0.1326,0.4801
Rutgers,0.9313,0.7234,0.2288,0.8216,#N/A,0.1251,0.3212,0.9255,0.0776,0.0623,0.2743,0.8253,0.6042
Wisconsin,0.1552,0.9708,0.9863,0.9606,0.7039,0.5709,0.9245,0.6448,0.9224,0.8515,#N/A,0.7257,0.7039
