,1,2,3,4,5,6,7,8,9,10,11,12,13
Indiana,0.9507,0.9092,0.4291,0.5285,0.0614,0.1898,0.6368,0.0589,#N/A,0.3552,0.2743,0.4376,0.4319
Illinois,0.7875,0.9757,0.3472,0.6070,0.4630,0.3930,#N/A,0.3739,0.3632,0.6395,0.1552,0.5028,0.4858
Iowa,0.9833,0.4886,0.6528,0.9618,0.2442,0.6070,0.3420,#N/A,0.8043,0.6448,0.6889,0.8003,0.3212
Maryland,0.9472,0.7777,0.5483,0.0606,0.2555,0.0213,#N/A,0.3060,0.1957,0.1822,0.0525,0.5624,0.4460
Michigan,0.4157,0.9203,0.9878,0.5876,0.7445,0.5987,0.3739,#N/A,0.6152,0.8778,0.7257,0.4744,0.2331
Michigan_State,0.7975,0.6015,0.9513,0.9735,0.9460,0.8982,0.6261,0.9411,#N/A,0.6179,0.9475,0.2672,0.8159
Minnesota,0.2194,0.7467,0.9491,0.6762,0.2464,0.5540,0.3767,#N/A,0.3848,0.0480,0.3111,0.4972,0.2936
Nebraska,0.6622,0.9769,0.2790,0.9080,0.5370,0.4943,0.6233,0.6070,0.7467,0.3821,0.7755,#N/A,0.6788
Northwestern,0.2567,0.9761,0.3930,0.9007,0.7536,0.4013,0.6580,0.3930,#N/A,0.6288,0.8498,0.3085,0.5142
OSU,0.6604,0.9966,0.9915,0.9765,0.9386,0.9787,0.9044,0.9534,#N/A,0.9520,0.8448,0.7328,0.7669
Penn_State,0.5667,0.9313,0.7712,0.9044,0.1587,0.8102,0.0956,0.6940,0.6368,0.3712,#N/A,0.5256,0.1841
Purdue,0.2904,0.9460,0.3085,0.5793,0.0540,0.4460,0.0932,#N/A,0.2533,0.3605,0.1502,0.1997,0.5681
Rutgers,0.9616,0.7234,0.2288,0.8197,#N/A,0.1018,0.3632,0.5057,0.0786,0.1222,0.2245,0.0359,0.5540
Wisconsin,0.2119,0.9708,0.9863,0.9606,0.7558,0.5057,0.9068,0.6261,0.9214,0.8178,#N/A,0.6915,0.7064
