time,combination,permutation,Indiana,Illinois,Iowa,Maryland,Michigan,Michigan State,Minnesota,Nebraska,Northwestern,OSU,Penn State,Purdue,Rutgers,Wisconsin,probability
1443394926.457235,1,49,1,2,5,1,6,7,3,8,10,11,9,12,4,13,.001749680726788938
1443394926.618071,1,50,1,2,5,1,6,7,3,8,10,11,9,13,4,12,.00653120269998908
1443394926.618202,1,56,1,2,5,1,6,7,3,8,11,10,9,13,4,12,.010324875824153423
1443394926.61838,1,368,1,2,5,1,6,7,3,9,11,10,8,13,4,12,.01467920932918787
1443394926.618568,1,776,1,2,5,1,6,8,3,7,11,10,9,13,4,12,.020762953907251358
1443394926.619001,1,1832,1,2,5,1,6,11,3,9,7,10,8,13,4,12,.021141845732927322
1443394926.619358,1,2552,1,2,5,1,6,11,3,9,10,7,8,13,4,12,.02168329618871212
1443394926.620405,1,4825,1,2,5,1,6,10,3,9,11,12,8,13,4,7,.022093743085861206
1443394926.620476,1,4831,1,2,5,1,6,11,3,9,10,12,8,13,4,7,.023392541334033012
1443394926.621054,1,6050,1,2,5,1,10,6,3,7,11,8,9,13,4,12,.02467804215848446
1443394926.621185,1,6217,1,2,5,1,10,6,3,7,11,12,8,13,4,9,.02862660586833954
1443394926.621852,1,7586,1,2,5,1,10,6,3,9,11,7,8,13,4,12,.03489203751087189
1443394926.622934,1,9865,1,2,5,1,10,6,3,9,11,12,8,13,4,7,.037642497569322586
1443394926.631341,1,28226,1,2,5,1,10,8,3,9,11,7,6,13,4,12,.038229670375585556
1443394926.632121,1,29665,1,2,5,1,10,8,3,9,11,12,6,13,4,7,.041243232786655426
1443394926.658079,1,41096,1,2,6,1,5,8,3,7,11,10,9,13,4,12,.05511957034468651
1443394926.658688,1,42152,1,2,6,1,5,11,3,9,7,10,8,13,4,12,.056125424802303314
1443394926.659035,1,42872,1,2,6,1,5,11,3,9,10,7,8,13,4,12,.05756281316280365
1443394926.659952,1,45145,1,2,6,1,5,10,3,9,11,12,8,13,4,7,.05865243822336197
1443394926.660019,1,45151,1,2,6,1,5,11,3,9,10,12,8,13,4,7,.0621003583073616
1443394926.660507,1,46389,1,2,12,1,5,6,3,7,11,8,9,13,4,10,.07927890121936798
1443394926.660621,1,46551,1,2,12,1,5,6,3,7,11,10,8,13,4,9,.0969979539513588
1443394926.661171,1,47925,1,2,12,1,5,6,3,9,11,7,8,13,4,10,.11209166795015335
1443394926.662054,1,50199,1,2,12,1,5,6,3,9,11,10,8,13,4,7,.1275472640991211
1443394926.669286,1,69999,1,2,12,1,5,8,3,9,11,10,6,13,4,7,.13974793255329132
1443394926.682366,1,105657,1,2,12,1,10,5,3,9,11,6,8,13,4,7,.15271063148975372
1443394926.684334,1,110697,1,2,12,1,10,5,3,9,11,8,6,13,4,7,.15599191188812256
1443394926.774659,1,256857,1,2,12,1,10,6,3,9,11,8,5,13,4,7,.1792910397052765
1443394926.780141,1,271737,1,2,12,1,10,8,3,9,11,6,5,13,4,7,.1923092007637024
