CPUs: 4
dataFile: data/bts_2016_week2.csv
remainingTeams: [Indiana Iowa Michigan Michigan_State Minnesota Nebraska Northwestern OSU Penn_State Purdue Rutgers Wisconsin]
Teams: [Indiana Illinois Iowa Maryland Michigan Michigan_State Minnesota Nebraska Northwestern OSU Penn_State Purdue Rutgers Wisconsin]
nWeeks: 13
weekNumber: 2
doubleDown: false
Probabilities:
map[Iowa:[0.9324 0.8697 0.9865 0.7045 0.7257 0.6368 0.6531 0.5497 0 0.4577 0.2763 0.6131 0.51] Rutgers:[0.12 0.9316 0.6274 0.2955 0.0534 0.0936 0.4751 0.3538 0 0.4975 0.268 0.3241 0.4183] Minnesota:[0.6485 0.953 0 0.8517 0.2599 0.3632 0.4925 0.6462 0.4013 0.5914 0.1874 0.5249 0.2155] Nebraska:[0.9387 0.922 0.6691 0.6508 0.7953 0 0.6937 0.8241 0.4651 0.2342 0.8126 0.8546 0.49] OSU:[0.9356 0.9105 0.4676 0 0.9466 0.922 0.6736 0.7237 0.9032 0.7658 0.8885 0.79 0.5423] Indiana:[0.732 0.7935 0 0.6131 0.4801 0.078 0.3063 0.3797 0.6415 0.5025 0.3965 0.0668 0.5939] Illinois:[0.934 0.3174 0.5349 0 0.2047 0.6155 0.5249 0.0744 0.5987 0.5025 0.2342 0.3869 0.4013] Michigan_State:[0.9863 0 0.2323 0.433 0.5199 0.5224 0.6203 0.589 0.1874 0.4975 0.732 0.21 0.3446] Purdue:[0.9505 0.5719 0 0.7482 0.4751 0.3845 0.3469 0.1759 0.3773 0.4086 0.5075 0.3241 0.4061] Maryland:[0.9409 0.7442 0.5448 0 0.5249 0.2083 0.5075 0.411 0.3585 0.047 0.1115 0.1454 0.5817] Michigan:[0.9878 0.9759 0.871 0.8531 0.8176 0.9064 0 0.9256 0.8126 0.953 0.7237 0.9332 0.4577] Penn_State:[0.9256 0.3869 0.8321 0.1469 0.7401 0.7917 0 0.2763 0.6227 0.5423 0.6035 0.6759 0.6554] Northwestern:[0.625 0.9641 0.5373 0.3492 0.2743 0 0.3797 0.6203 0.0968 0.3869 0.4925 0.4751 0.5987] Wisconsin:[0.1587 0.9524 0.9589 0.567 0.1824 0 0.3264 0.4503 0.5349 0.6131 0.7658 0.6759 0.7845]]
Filtered Probabilities:
map[Indiana:[0.7935 0 0.6131 0.4801 0.078 0.3063 0.3797 0.6415 0.5025 0.3965 0.0668 0.5939] Iowa:[0.8697 0.9865 0.7045 0.7257 0.6368 0.6531 0.5497 0 0.4577 0.2763 0.6131 0.51] Michigan:[0.9759 0.871 0.8531 0.8176 0.9064 0 0.9256 0.8126 0.953 0.7237 0.9332 0.4577] Nebraska:[0.922 0.6691 0.6508 0.7953 0 0.6937 0.8241 0.4651 0.2342 0.8126 0.8546 0.49] Penn_State:[0.3869 0.8321 0.1469 0.7401 0.7917 0 0.2763 0.6227 0.5423 0.6035 0.6759 0.6554] Michigan_State:[0 0.2323 0.433 0.5199 0.5224 0.6203 0.589 0.1874 0.4975 0.732 0.21 0.3446] Minnesota:[0.953 0 0.8517 0.2599 0.3632 0.4925 0.6462 0.4013 0.5914 0.1874 0.5249 0.2155] Northwestern:[0.9641 0.5373 0.3492 0.2743 0 0.3797 0.6203 0.0968 0.3869 0.4925 0.4751 0.5987] OSU:[0.9105 0.4676 0 0.9466 0.922 0.6736 0.7237 0.9032 0.7658 0.8885 0.79 0.5423] Purdue:[0.5719 0 0.7482 0.4751 0.3845 0.3469 0.1759 0.3773 0.4086 0.5075 0.3241 0.4061] Rutgers:[0.9316 0.6274 0.2955 0.0534 0.0936 0.4751 0.3538 0 0.4975 0.268 0.3241 0.4183] Wisconsin:[0.9524 0.9589 0.567 0.1824 0 0.3264 0.4503 0.5349 0.6131 0.7658 0.6759 0.7845]]
0,0,0.000064,0.0038134054818887526,0,,1,1,Indiana,0.7935,2,Iowa,0.9865,3,Michigan,0.8531,4,Michigan_State,0.5199,5,Minnesota,0.3632,6,Nebraska,0.6937,7,Northwestern,0.6203,8,OSU,0.9032,9,Penn_State,0.5423,10,Purdue,0.5075,11,Wisconsin,0.6759,12,Rutgers,0.4183,-1,,1
0,9,0.000494,0.0043356184908730265,0,,1,1,Indiana,0.7935,2,Iowa,0.9865,3,Michigan,0.8531,4,Michigan_State,0.5199,5,Minnesota,0.3632,6,Nebraska,0.6937,7,Northwestern,0.6203,8,OSU,0.9032,9,Purdue,0.4086,10,Wisconsin,0.7658,11,Penn_State,0.6759,12,Rutgers,0.4183,-1,,1
0,13,0.000570,0.006561022853932446,0,,1,1,Indiana,0.7935,2,Iowa,0.9865,3,Michigan,0.8531,4,Michigan_State,0.5199,5,Minnesota,0.3632,6,Nebraska,0.6937,7,Northwestern,0.6203,8,OSU,0.9032,9,Rutgers,0.4975,10,Purdue,0.5075,11,Penn_State,0.6759,12,Wisconsin,0.7845,-1,,1
0,15157,0.039568,0.007613192758293253,0,,1,1,Indiana,0.7935,2,Iowa,0.9865,3,Michigan,0.8531,4,Michigan_State,0.5199,5,OSU,0.922,6,Minnesota,0.4925,7,Nebraska,0.8241,8,Penn_State,0.6227,9,Rutgers,0.4975,10,Purdue,0.5075,11,Northwestern,0.4751,12,Wisconsin,0.7845,-1,,1
0,15158,0.039837,0.00826571738375381,0,,1,1,Indiana,0.7935,2,Iowa,0.9865,3,Michigan,0.8531,4,Michigan_State,0.5199,5,OSU,0.922,6,Minnesota,0.4925,7,Nebraska,0.8241,8,Penn_State,0.6227,9,Rutgers,0.4975,10,Purdue,0.5075,11,Wisconsin,0.6759,12,Northwestern,0.5987,-1,,1
0,15277,0.040242,0.010307813468775774,0,,1,1,Indiana,0.7935,2,Iowa,0.9865,3,Michigan,0.8531,4,Michigan_State,0.5199,5,OSU,0.922,6,Minnesota,0.4925,7,Northwestern,0.6203,8,Penn_State,0.6227,9,Rutgers,0.4975,10,Purdue,0.5075,11,Nebraska,0.8546,12,Wisconsin,0.7845,-1,,1
0,19009,0.047463,0.011820438332452884,0,,1,1,Indiana,0.7935,2,Iowa,0.9865,3,Michigan,0.8531,4,Michigan_State,0.5199,5,OSU,0.922,6,Rutgers,0.4751,7,Northwestern,0.6203,8,Penn_State,0.6227,9,Minnesota,0.5914,10,Purdue,0.5075,11,Nebraska,0.8546,12,Wisconsin,0.7845,-1,,1
0,20317,0.049955,0.012838117256947891,0,,1,1,Indiana,0.7935,2,Iowa,0.9865,3,Michigan,0.8531,4,Michigan_State,0.5199,5,Penn_State,0.7917,6,Minnesota,0.4925,7,Northwestern,0.6203,8,OSU,0.9032,9,Rutgers,0.4975,10,Purdue,0.5075,11,Nebraska,0.8546,12,Wisconsin,0.7845,-1,,1
0,24049,0.056970,0.014722052722455296,0,,1,1,Indiana,0.7935,2,Iowa,0.9865,3,Michigan,0.8531,4,Michigan_State,0.5199,5,Penn_State,0.7917,6,Rutgers,0.4751,7,Northwestern,0.6203,8,OSU,0.9032,9,Minnesota,0.5914,10,Purdue,0.5075,11,Nebraska,0.8546,12,Wisconsin,0.7845,-1,,1
0,100838,0.164877,0.015552818005698285,0,,1,1,Indiana,0.7935,2,Iowa,0.9865,3,Michigan,0.8531,4,Nebraska,0.7953,5,Penn_State,0.7917,6,Michigan_State,0.6203,7,Minnesota,0.6462,8,OSU,0.9032,9,Rutgers,0.4975,10,Purdue,0.5075,11,Wisconsin,0.6759,12,Northwestern,0.5987,-1,,1
