0,185477,0.242175,0.01615075994686013,0,,1,1,Indiana,0.7935,2,Iowa,0.9865,3,Michigan,0.8531,4,OSU,0.9466,5,Penn_State,0.7917,6,Rutgers,0.4751,7,Northwestern,0.6203,8,Purdue,0.3773,9,Minnesota,0.5914,10,Michigan_State,0.732,11,Nebraska,0.8546,12,Wisconsin,0.7845,-1,,1
0,267183,0.304738,0.017726495937561867,0,,1,1,Indiana,0.7935,2,Iowa,0.9865,3,Michigan,0.8531,4,Purdue,0.4751,5,Penn_State,0.7917,6,Michigan_State,0.6203,7,Minnesota,0.6462,8,OSU,0.9032,9,Rutgers,0.4975,10,Wisconsin,0.7658,11,Nebraska,0.8546,12,Northwestern,0.5987,-1,,1
0,271157,0.307485,0.019404775211060817,0,,1,1,Indiana,0.7935,2,Iowa,0.9865,3,Michigan,0.8531,4,Purdue,0.4751,5,Penn_State,0.7917,6,Rutgers,0.4751,7,Northwestern,0.6203,8,OSU,0.9032,9,Minnesota,0.5914,10,Michigan_State,0.732,11,Nebraska,0.8546,12,Wisconsin,0.7845,-1,,1
0,741037,0.596884,0.020383082763530607,0,,1,1,Indiana,0.7935,2,Iowa,0.9865,3,Minnesota,0.8517,4,Michigan,0.8176,5,OSU,0.922,6,Michigan_State,0.6203,7,Northwestern,0.6203,8,Penn_State,0.6227,9,Rutgers,0.4975,10,Purdue,0.5075,11,Nebraska,0.8546,12,Wisconsin,0.7845,-1,,1
0,746077,0.599924,0.02538660671042956,0,,1,1,Indiana,0.7935,2,Iowa,0.9865,3,Minnesota,0.8517,4,Michigan,0.8176,5,Penn_State,0.7917,6,Michigan_State,0.6203,7,Northwestern,0.6203,8,OSU,0.9032,9,Rutgers,0.4975,10,Purdue,0.5075,11,Nebraska,0.8546,12,Wisconsin,0.7845,-1,,1
0,827437,0.647797,0.026965383195663804,0,,1,1,Indiana,0.7935,2,Iowa,0.9865,3,Minnesota,0.8517,4,Nebraska,0.7953,5,Penn_State,0.7917,6,Michigan_State,0.6203,7,Northwestern,0.6203,8,OSU,0.9032,9,Rutgers,0.4975,10,Purdue,0.5075,11,Michigan,0.9332,12,Wisconsin,0.7845,-1,,1
0,996911,0.751693,0.03121813122865487,0,,1,1,Indiana,0.7935,2,Iowa,0.9865,3,Minnesota,0.8517,4,Purdue,0.4751,5,Penn_State,0.7917,6,Rutgers,0.4751,7,Northwestern,0.6203,8,OSU,0.9032,9,Michigan,0.953,10,Michigan_State,0.732,11,Nebraska,0.8546,12,Wisconsin,0.7845,-1,,1
0,39225935,23.408290,0.03237186815688602,0,,1,1,Indiana,0.7935,2,Wisconsin,0.9589,3,Purdue,0.7482,4,Iowa,0.7257,5,Penn_State,0.7917,6,Rutgers,0.4751,7,Minnesota,0.6462,8,OSU,0.9032,9,Michigan,0.953,10,Michigan_State,0.732,11,Nebraska,0.8546,12,Northwestern,0.5987,-1,,1
2,3628799,30.679965,0.006388696358427,0,,1,1,Northwestern,0.9641,2,Iowa,0.9865,3,Indiana,0.6131,4,Michigan,0.8176,5,Michigan_State,0.5224,6,Minnesota,0.4925,7,Nebraska,0.8241,8,OSU,0.9032,9,Penn_State,0.5423,10,Purdue,0.5075,11,Rutgers,0.3241,12,Wisconsin,0.7845,-1,,1
2,3628800,30.680008,0.007104124756956279,0,,1,1,Northwestern,0.9641,2,Iowa,0.9865,3,Indiana,0.6131,4,Michigan,0.8176,5,Michigan_State,0.5224,6,Minnesota,0.4925,7,Nebraska,0.8241,8,OSU,0.9032,9,Penn_State,0.5423,10,Purdue,0.5075,11,Wisconsin,0.6759,12,Rutgers,0.4183,-1,,1
2,3628809,30.680024,0.008076973404483878,0,,1,1,Northwestern,0.9641,2,Iowa,0.9865,3,Indiana,0.6131,4,Michigan,0.8176,5,Michigan_State,0.5224,6,Minnesota,0.4925,7,Nebraska,0.8241,8,OSU,0.9032,9,Purdue,0.4086,10,Wisconsin,0.7658,11,Penn_State,0.6759,12,Rutgers,0.4183,-1,,1
2,3628813,30.680034,0.012222756040223574,0,,1,1,Northwestern,0.9641,2,Iowa,0.9865,3,Indiana,0.6131,4,Michigan,0.8176,5,Michigan_State,0.5224,6,Minnesota,0.4925,7,Nebraska,0.8241,8,OSU,0.9032,9,Rutgers,0.4975,10,Purdue,0.5075,11,Penn_State,0.6759,12,Wisconsin,0.7845,-1,,1
2,3629533,30.680434,0.013499623078194809,0,,1,1,Northwestern,0.9641,2,Iowa,0.9865,3,Indiana,0.6131,4,Michigan,0.8176,5,Michigan_State,0.5224,6,Nebraska,0.6937,7,Minnesota,0.6462,8,OSU,0.9032,9,Rutgers,0.4975,10,Purdue,0.5075,11,Penn_State,0.6759,12,Wisconsin,0.7845,-1,,1
2,3632545,30.682380,0.014016390038850596,0,,1,1,Northwestern,0.9641,2,Iowa,0.9865,3,Indiana,0.6131,4,Michigan,0.8176,5,Michigan_State,0.5224,6,Rutgers,0.4751,7,Nebraska,0.8241,8,OSU,0.9032,9,Minnesota,0.5914,10,Purdue,0.5075,11,Penn_State,0.6759,12,Wisconsin,0.7845,-1,,1
2,3643957,30.688838,0.018571836903120323,0,,1,1,Northwestern,0.9641,2,Iowa,0.9865,3,Indiana,0.6131,4,Michigan,0.8176,5,OSU,0.922,6,Michigan_State,0.6203,7,Minnesota,0.6462,8,Penn_State,0.6227,9,Rutgers,0.4975,10,Purdue,0.5075,11,Nebraska,0.8546,12,Wisconsin,0.7845,-1,,1
2,3648997,30.691953,0.023130746453785784,0,,1,1,Northwestern,0.9641,2,Iowa,0.9865,3,Indiana,0.6131,4,Michigan,0.8176,5,Penn_State,0.7917,6,Michigan_State,0.6203,7,Minnesota,0.6462,8,OSU,0.9032,9,Rutgers,0.4975,10,Purdue,0.5075,11,Nebraska,0.8546,12,Wisconsin,0.7845,-1,,1
2,3770797,30.762483,0.024569232463503246,0,,1,1,Northwestern,0.9641,2,Iowa,0.9865,3,Indiana,0.6131,4,Nebraska,0.7953,5,Penn_State,0.7917,6,Michigan_State,0.6203,7,Minnesota,0.6462,8,OSU,0.9032,9,Rutgers,0.4975,10,Purdue,0.5075,11,Michigan,0.9332,12,Wisconsin,0.7845,-1,,1
2,3899597,30.837829,0.025283471684427055,0,,1,1,Northwestern,0.9641,2,Iowa,0.9865,3,Indiana,0.6131,4,Purdue,0.4751,5,Penn_State,0.7917,6,Rutgers,0.4751,7,Michigan,0.9256,8,OSU,0.9032,9,Minnesota,0.5914,10,Michigan_State,0.732,11,Nebraska,0.8546,12,Wisconsin,0.7845,-1,,1
2,3899831,30.838084,0.02844408023677968,0,,1,1,Northwestern,0.9641,2,Iowa,0.9865,3,Indiana,0.6131,4,Purdue,0.4751,5,Penn_State,0.7917,6,Rutgers,0.4751,7,Minnesota,0.6462,8,OSU,0.9032,9,Michigan,0.953,10,Michigan_State,0.732,11,Nebraska,0.8546,12,Wisconsin,0.7845,-1,,1
2,4855093,31.386406,0.029288291413725454,0,,1,1,Northwestern,0.9641,2,Iowa,0.9865,3,Minnesota,0.8517,4,Nebraska,0.7953,5,OSU,0.922,6,Michigan_State,0.6203,7,Michigan,0.9256,8,Indiana,0.6415,9,Rutgers,0.4975,10,Purdue,0.5075,11,Penn_State,0.6759,12,Wisconsin,0.7845,-1,,1
2,4860133,31.390421,0.02939465760391253,0,,1,1,Northwestern,0.9641,2,Iowa,0.9865,3,Minnesota,0.8517,4,Nebraska,0.7953,5,Penn_State,0.7917,6,Michigan_State,0.6203,7,Michigan,0.9256,8,Indiana,0.6415,9,Rutgers,0.4975,10,Purdue,0.5075,11,OSU,0.79,12,Wisconsin,0.7845,-1,,1
2,4884613,31.404519,0.03051231074807145,0,,1,1,Northwestern,0.9641,2,Iowa,0.9865,3,Minnesota,0.8517,4,OSU,0.9466,5,Michigan,0.9064,6,Michigan_State,0.6203,7,Nebraska,0.8241,8,Indiana,0.6415,9,Rutgers,0.4975,10,Purdue,0.5075,11,Penn_State,0.6759,12,Wisconsin,0.7845,-1,,1
2,4900453,31.413638,0.03784771987319207,0,,1,1,Northwestern,0.9641,2,Iowa,0.9865,3,Minnesota,0.8517,4,OSU,0.9466,5,Penn_State,0.7917,6,Michigan_State,0.6203,7,Michigan,0.9256,8,Indiana,0.6415,9,Rutgers,0.4975,10,Purdue,0.5075,11,Nebraska,0.8546,12,Wisconsin,0.7845,-1,,1
2,6354359,32.248960,0.03801253216974973,0,,1,1,Northwestern,0.9641,2,Iowa,0.9865,3,Purdue,0.7482,4,Nebraska,0.7953,5,OSU,0.922,6,Rutgers,0.4751,7,Minnesota,0.6462,8,Indiana,0.6415,9,Michigan,0.953,10,Michigan_State,0.732,11,Penn_State,0.6759,12,Wisconsin,0.7845,-1,,1
2,6359399,32.251900,0.03815058215597614,0,,1,1,Northwestern,0.9641,2,Iowa,0.9865,3,Purdue,0.7482,4,Nebraska,0.7953,5,Penn_State,0.7917,6,Rutgers,0.4751,7,Minnesota,0.6462,8,Indiana,0.6415,9,Michigan,0.953,10,Michigan_State,0.732,11,OSU,0.79,12,Wisconsin,0.7845,-1,,1
2,6397453,32.273829,0.040585135293477924,0,,1,1,Northwestern,0.9641,2,Iowa,0.9865,3,Purdue,0.7482,4,OSU,0.9466,5,Penn_State,0.7917,6,Michigan_State,0.6203,7,Minnesota,0.6462,8,Indiana,0.6415,9,Rutgers,0.4975,10,Nebraska,0.8126,11,Michigan,0.9332,12,Wisconsin,0.7845,-1,,1
2,6399013,32.275061,0.040885675221219935,0,,1,1,Northwestern,0.9641,2,Iowa,0.9865,3,Purdue,0.7482,4,OSU,0.9466,5,Penn_State,0.7917,6,Nebraska,0.6937,7,Minnesota,0.6462,8,Indiana,0.6415,9,Rutgers,0.4975,10,Michigan_State,0.732,11,Michigan,0.9332,12,Wisconsin,0.7845,-1,,1
2,6399485,32.275401,0.04366337442239909,0,,1,1,Northwestern,0.9641,2,Iowa,0.9865,3,Purdue,0.7482,4,OSU,0.9466,5,Penn_State,0.7917,6,Rutgers,0.4751,7,Michigan,0.9256,8,Indiana,0.6415,9,Minnesota,0.5914,10,Michigan_State,0.732,11,Nebraska,0.8546,12,Wisconsin,0.7845,-1,,1
2,6399719,32.275560,0.049121597737079796,0,,1,1,Northwestern,0.9641,2,Iowa,0.9865,3,Purdue,0.7482,4,OSU,0.9466,5,Penn_State,0.7917,6,Rutgers,0.4751,7,Minnesota,0.6462,8,Indiana,0.6415,9,Michigan,0.953,10,Michigan_State,0.732,11,Nebraska,0.8546,12,Wisconsin,0.7845,-1,,1
1,43545599,39.855586,0.006695305403674389,0,,1,1,Minnesota,0.953,2,Iowa,0.9865,3,Indiana,0.6131,4,Michigan,0.8176,5,Michigan_State,0.5224,6,Nebraska,0.6937,7,Northwestern,0.6203,8,OSU,0.9032,9,Penn_State,0.5423,10,Purdue,0.5075,11,Rutgers,0.3241,12,Wisconsin,0.7845,-1,,1
1,43545600,39.855630,0.007445068947577511,0,,1,1,Minnesota,0.953,2,Iowa,0.9865,3,Indiana,0.6131,4,Michigan,0.8176,5,Michigan_State,0.5224,6,Nebraska,0.6937,7,Northwestern,0.6203,8,OSU,0.9032,9,Penn_State,0.5423,10,Purdue,0.5075,11,Wisconsin,0.6759,12,Rutgers,0.4183,-1,,1
1,43545609,39.855645,0.008464606963053426,0,,1,1,Minnesota,0.953,2,Iowa,0.9865,3,Indiana,0.6131,4,Michigan,0.8176,5,Michigan_State,0.5224,6,Nebraska,0.6937,7,Northwestern,0.6203,8,OSU,0.9032,9,Purdue,0.4086,10,Wisconsin,0.7658,11,Penn_State,0.6759,12,Rutgers,0.4183,-1,,1
1,43545613,39.855656,0.012809355770361231,0,,1,1,Minnesota,0.953,2,Iowa,0.9865,3,Indiana,0.6131,4,Michigan,0.8176,5,Michigan_State,0.5224,6,Nebraska,0.6937,7,Northwestern,0.6203,8,OSU,0.9032,9,Rutgers,0.4975,10,Purdue,0.5075,11,Penn_State,0.6759,12,Wisconsin,0.7845,-1,,1
1,43560757,39.863994,0.013015497744100268,0,,1,1,Minnesota,0.953,2,Iowa,0.9865,3,Indiana,0.6131,4,Michigan,0.8176,5,OSU,0.922,6,Michigan_State,0.6203,7,Nebraska,0.8241,8,Penn_State,0.6227,9,Rutgers,0.4975,10,Purdue,0.5075,11,Northwestern,0.4751,12,Wisconsin,0.7845,-1,,1
1,43560758,39.864062,0.014131052421393864,0,,1,1,Minnesota,0.953,2,Iowa,0.9865,3,Indiana,0.6131,4,Michigan,0.8176,5,OSU,0.922,6,Michigan_State,0.6203,7,Nebraska,0.8241,8,Penn_State,0.6227,9,Rutgers,0.4975,10,Purdue,0.5075,11,Wisconsin,0.6759,12,Northwestern,0.5987,-1,,1
1,43560877,39.864157,0.017622215436921915,0,,1,1,Minnesota,0.953,2,Iowa,0.9865,3,Indiana,0.6131,4,Michigan,0.8176,5,OSU,0.922,6,Michigan_State,0.6203,7,Northwestern,0.6203,8,Penn_State,0.6227,9,Rutgers,0.4975,10,Purdue,0.5075,11,Nebraska,0.8546,12,Wisconsin,0.7845,-1,,1
1,43565917,39.866940,0.021948017277544897,0,,1,1,Minnesota,0.953,2,Iowa,0.9865,3,Indiana,0.6131,4,Michigan,0.8176,5,Penn_State,0.7917,6,Michigan_State,0.6203,7,Northwestern,0.6203,8,OSU,0.9032,9,Rutgers,0.4975,10,Purdue,0.5075,11,Nebraska,0.8546,12,Wisconsin,0.7845,-1,,1
1,43647277,39.913616,0.023312950132516306,0,,1,1,Minnesota,0.953,2,Iowa,0.9865,3,Indiana,0.6131,4,Nebraska,0.7953,5,Penn_State,0.7917,6,Michigan_State,0.6203,7,Northwestern,0.6203,8,OSU,0.9032,9,Rutgers,0.4975,10,Purdue,0.5075,11,Michigan,0.9332,12,Wisconsin,0.7845,-1,,1
1,43816751,40.011473,0.02698966787466284,0,,1,1,Minnesota,0.953,2,Iowa,0.9865,3,Indiana,0.6131,4,Purdue,0.4751,5,Penn_State,0.7917,6,Rutgers,0.4751,7,Northwestern,0.6203,8,OSU,0.9032,9,Michigan,0.953,10,Michigan_State,0.732,11,Nebraska,0.8546,12,Wisconsin,0.7845,-1,,1
1,46111743,41.320759,0.027026493007460812,0,,1,1,Minnesota,0.953,2,Iowa,0.9865,3,Purdue,0.7482,4,Indiana,0.4801,5,Penn_State,0.7917,6,Michigan_State,0.6203,7,Michigan,0.9256,8,OSU,0.9032,9,Rutgers,0.4975,10,Wisconsin,0.7658,11,Nebraska,0.8546,12,Northwestern,0.5987,-1,,1
1,46111981,41.321012,0.027499520253908193,0,,1,1,Minnesota,0.953,2,Iowa,0.9865,3,Purdue,0.7482,4,Indiana,0.4801,5,Penn_State,0.7917,6,Michigan_State,0.6203,7,Northwestern,0.6203,8,OSU,0.9032,9,Rutgers,0.4975,10,Nebraska,0.8126,11,Michigan,0.9332,12,Wisconsin,0.7845,-1,,1
1,46112701,41.321465,0.02770315894502715,0,,1,1,Minnesota,0.953,2,Iowa,0.9865,3,Purdue,0.7482,4,Indiana,0.4801,5,Penn_State,0.7917,6,Nebraska,0.6937,7,Northwestern,0.6203,8,OSU,0.9032,9,Rutgers,0.4975,10,Michigan_State,0.732,11,Michigan,0.9332,12,Wisconsin,0.7845,-1,,1
1,46114991,41.322767,0.033283623723492556,0,,1,1,Minnesota,0.953,2,Iowa,0.9865,3,Purdue,0.7482,4,Indiana,0.4801,5,Penn_State,0.7917,6,Rutgers,0.4751,7,Northwestern,0.6203,8,OSU,0.9032,9,Michigan,0.953,10,Michigan_State,0.732,11,Nebraska,0.8546,12,Wisconsin,0.7845,-1,,1
1,46152253,41.343825,0.0333054877745903,0,,1,1,Minnesota,0.953,2,Iowa,0.9865,3,Purdue,0.7482,4,Michigan,0.8176,5,Penn_State,0.7917,6,Michigan_State,0.6203,7,Northwestern,0.6203,8,Indiana,0.6415,9,Rutgers,0.4975,10,OSU,0.8885,11,Nebraska,0.8546,12,Wisconsin,0.7845,-1,,1
1,46230839,41.389256,0.03606886247669492,0,,1,1,Minnesota,0.953,2,Iowa,0.9865,3,Purdue,0.7482,4,Nebraska,0.7953,5,OSU,0.922,6,Rutgers,0.4751,7,Northwestern,0.6203,8,Indiana,0.6415,9,Michigan,0.953,10,Michigan_State,0.732,11,Penn_State,0.6759,12,Wisconsin,0.7845,-1,,1
1,46235879,41.392099,0.03619985364418344,0,,1,1,Minnesota,0.953,2,Iowa,0.9865,3,Purdue,0.7482,4,Nebraska,0.7953,5,Penn_State,0.7917,6,Rutgers,0.4751,7,Northwestern,0.6203,8,Indiana,0.6415,9,Michigan,0.953,10,Michigan_State,0.732,11,OSU,0.79,12,Wisconsin,0.7845,-1,,1
1,46314135,41.436441,0.037847502008580176,0,,1,1,Minnesota,0.953,2,Iowa,0.9865,3,Purdue,0.7482,4,OSU,0.9466,5,Penn_State,0.7917,6,Michigan_State,0.6203,7,Michigan,0.9256,8,Indiana,0.6415,9,Rutgers,0.4975,10,Wisconsin,0.7658,11,Nebraska,0.8546,12,Northwestern,0.5987,-1,,1
1,46314373,41.436694,0.038509922384582645,0,,1,1,Minnesota,0.953,2,Iowa,0.9865,3,Purdue,0.7482,4,OSU,0.9466,5,Penn_State,0.7917,6,Michigan_State,0.6203,7,Northwestern,0.6203,8,Indiana,0.6415,9,Rutgers,0.4975,10,Nebraska,0.8126,11,Michigan,0.9332,12,Wisconsin,0.7845,-1,,1
1,46315093,41.437143,0.03879509500276221,0,,1,1,Minnesota,0.953,2,Iowa,0.9865,3,Purdue,0.7482,4,OSU,0.9466,5,Penn_State,0.7917,6,Nebraska,0.6937,7,Northwestern,0.6203,8,Indiana,0.6415,9,Rutgers,0.4975,10,Michigan_State,0.732,11,Michigan,0.9332,12,Wisconsin,0.7845,-1,,1
1,46316639,41.438042,0.0466098955339845,0,,1,1,Minnesota,0.953,2,Iowa,0.9865,3,Purdue,0.7482,4,OSU,0.9466,5,Penn_State,0.7917,6,Rutgers,0.4751,7,Northwestern,0.6203,8,Indiana,0.6415,9,Michigan,0.953,10,Michigan_State,0.732,11,Nebraska,0.8546,12,Wisconsin,0.7845,-1,,1
3,3628799,44.476558,0.0006820538661221199,0,,1,1,Purdue,0.5719,2,Iowa,0.9865,3,Indiana,0.6131,4,Michigan,0.8176,5,Michigan_State,0.5224,6,Minnesota,0.4925,7,Nebraska,0.8241,8,Northwestern,0.0968,9,OSU,0.7658,10,Penn_State,0.6035,11,Rutgers,0.3241,12,Wisconsin,0.7845,-1,,1
3,3628800,44.476647,0.0007584326260089955,0,,1,1,Purdue,0.5719,2,Iowa,0.9865,3,Indiana,0.6131,4,Michigan,0.8176,5,Michigan_State,0.5224,6,Minnesota,0.4925,7,Nebraska,0.8241,8,Northwestern,0.0968,9,OSU,0.7658,10,Penn_State,0.6035,11,Wisconsin,0.6759,12,Rutgers,0.4183,-1,,1
3,3628803,44.476707,0.0009623988483805945,0,,1,1,Purdue,0.5719,2,Iowa,0.9865,3,Indiana,0.6131,4,Michigan,0.8176,5,Michigan_State,0.5224,6,Minnesota,0.4925,7,Nebraska,0.8241,8,Northwestern,0.0968,9,OSU,0.7658,10,Wisconsin,0.7658,11,Penn_State,0.6759,12,Rutgers,0.4183,-1,,1
3,3628811,44.476757,0.0013604418121918082,0,,1,1,Purdue,0.5719,2,Iowa,0.9865,3,Indiana,0.6131,4,Michigan,0.8176,5,Michigan_State,0.5224,6,Minnesota,0.4925,7,Nebraska,0.8241,8,Northwestern,0.0968,9,Rutgers,0.4975,10,OSU,0.8885,11,Penn_State,0.6759,12,Wisconsin,0.7845,-1,,1
3,3628823,44.476805,0.003215219405042745,0,,1,1,Purdue,0.5719,2,Iowa,0.9865,3,Indiana,0.6131,4,Michigan,0.8176,5,Michigan_State,0.5224,6,Minnesota,0.4925,7,Nebraska,0.8241,8,OSU,0.9032,9,Northwestern,0.3869,10,Penn_State,0.6035,11,Rutgers,0.3241,12,Wisconsin,0.7845,-1,,1
3,3628824,44.476859,0.0035752708366365853,0,,1,1,Purdue,0.5719,2,Iowa,0.9865,3,Indiana,0.6131,4,Michigan,0.8176,5,Michigan_State,0.5224,6,Minnesota,0.4925,7,Nebraska,0.8241,8,OSU,0.9032,9,Northwestern,0.3869,10,Penn_State,0.6035,11,Wisconsin,0.6759,12,Rutgers,0.4183,-1,,1
