time,combination,permutation,Indiana,Illinois,Iowa,Maryland,Michigan,Michigan_State,Minnesota,Nebraska,Northwestern,OSU,Penn_State,Purdue,Rutgers,Wisconsin,probability
1445386049.458541,1,241,1,2,9,1,10,8,3,11,12,6,5,13,4,7,.06801455467939377
1445386049.550531,1,249,1,2,9,1,12,8,3,10,11,6,5,13,4,7,.10563293099403381
1445386049.5506,1,255,1,2,9,1,12,8,3,11,10,6,5,13,4,7,.10861450433731079
1445386049.550641,1,273,1,2,12,1,9,8,3,10,11,6,5,13,4,7,.12157829850912094
1445386049.550675,1,279,1,2,12,1,9,8,3,11,10,6,5,13,4,7,.1250099539756775
1445386049.550708,1,291,1,2,10,1,12,8,3,9,11,6,5,13,4,7,.1430138200521469
1445386049.550739,1,297,1,2,12,1,10,8,3,9,11,6,5,13,4,7,.22146910429000854
