time,combination,permutation,Indiana,Illinois,Iowa,Maryland,Michigan,Michigan_State,Minnesota,Nebraska,Northwestern,OSU,Penn_State,Purdue,Rutgers,Wisconsin,probability
1444597398.986738,1,121,1,2,7,1,9,8,3,10,11,6,5,12,4,13,.009197692386806011
1444597399.075922,1,122,1,2,7,1,9,8,3,10,11,6,5,13,4,12,.03650932013988495
1444597399.075987,1,128,1,2,7,1,9,8,3,11,10,6,5,13,4,12,.04006774723529816
1444597399.076026,1,146,1,2,7,1,10,8,3,9,11,6,5,13,4,12,.0728570893406868
1444597399.076201,1,866,1,2,10,1,7,8,3,9,11,6,5,13,4,12,.08003117144107819
1444597399.076236,1,885,1,2,12,1,7,8,3,9,11,6,5,13,4,10,.1273917257785797
1444597399.076583,1,2505,1,2,12,1,10,8,3,7,11,6,5,13,4,9,.1301259845495224
1444597399.077042,1,4617,1,2,12,1,10,8,3,9,11,6,5,13,4,7,.18421654403209686
