time,combination,permutation,Indiana,Illinois,Iowa,Maryland,Michigan,Michigan_State,Minnesota,Nebraska,Northwestern,OSU,Penn_State,Purdue,Rutgers,Wisconsin,probability
1446066379.617,1,1,1,2,9,1,10,8,3,11,12,6,5,13,4,7,.07024159282445908
1446066379.939,1,9,1,2,9,1,12,8,3,10,11,6,5,13,4,7,.10491430759429932
1446066379.939,1,15,1,2,9,1,12,8,3,11,10,6,5,13,4,7,.13195423781871796
1446066379.939,1,39,1,2,12,1,9,8,3,11,10,6,5,13,4,7,.15708418190479279
1446066379.94,1,51,1,2,10,1,12,8,3,9,11,6,5,13,4,7,.17099736630916595
1446066379.94,1,57,1,2,12,1,10,8,3,9,11,6,5,13,4,7,.26706111431121826
