time,combination,permutation,Indiana,Illinois,Iowa,Maryland,Michigan,Michigan_State,Minnesota,Nebraska,Northwestern,OSU,Penn_State,Purdue,Rutgers,Wisconsin,probability
1446570276.583,1,1,2,1,3,10,11,12,4,5,13,6,7,8,1,9,.016030311584472656
1446570276.953,1,2,2,1,3,10,11,13,4,5,12,6,7,8,1,9,.02160986326634884
1446570276.953,1,3,2,1,3,10,12,11,4,5,13,6,7,8,1,9,.050948869436979294
1446570276.954,1,5,2,1,3,10,12,13,4,5,11,6,7,8,1,9,.062036000192165375
1446570276.954,1,9,2,1,3,12,10,11,4,5,13,6,7,8,1,9,.2523764967918396
1446570276.954,1,11,2,1,3,12,10,13,4,5,11,6,7,8,1,9,.30729690194129944
