time,combination,permutation,Indiana,Illinois,Iowa,Maryland,Michigan,Michigan State,Minnesota,Nebraska,Northwestern,OSU,Penn State,Purdue,Rutgers,Wisconsin,probability
1441372461.863364,10,49,1,2,3,4,5,6,7,8,10,11,1,9,12,13,34870197850978e-18
1441372461.863459,10,50,1,2,3,4,5,6,7,8,10,11,1,9,13,12,.0003569143882486969
1441372461.863562,10,56,1,2,3,4,5,6,7,8,11,10,1,9,13,12,.0005287478561513126
1441372461.863664,10,109,1,2,3,4,5,6,7,8,11,12,1,10,13,9,.0009139218600466847
1441372461.863822,10,248,1,2,3,4,5,6,7,9,11,8,1,10,13,12,.0009203458903357387
1441372461.864002,10,488,1,2,3,4,5,6,7,9,11,10,1,13,8,12,.0011284140637144446
1441372461.864334,10,1071,1,2,3,4,5,6,12,7,11,8,1,10,13,9,.0012373446952551603
1441372461.864501,10,1311,1,2,3,4,5,6,12,7,11,10,1,13,8,9,.0015170788392424583
1441372461.865068,10,2391,1,2,3,4,5,6,12,8,11,7,1,10,13,9,.0016917287139222026
1441372461.865329,10,2685,1,2,3,4,5,6,12,9,11,7,1,13,8,10,.0017355966847389936
1441372461.865462,10,2759,1,2,3,4,5,6,12,13,11,7,1,10,8,9,.0018468472408130765
1441372461.866543,10,4959,1,2,3,4,5,6,12,9,11,10,1,13,8,7,.001926412689499557
1441372461.874511,10,24519,1,2,3,4,5,8,12,9,11,6,1,10,13,7,.0019566244445741177
1441372461.881859,10,42711,1,2,3,4,6,5,12,8,11,7,1,10,13,9,.0019916067831218243
1441372461.882196,10,43005,1,2,3,4,6,5,12,9,11,7,1,13,8,10,.0020432507153600454
1441372461.882334,10,43079,1,2,3,4,6,5,12,13,11,7,1,10,8,9,.002174222143366933
1441372461.883459,10,45279,1,2,3,4,6,5,12,9,11,10,1,13,8,7,.0022678913082927465
1441372461.910565,10,65451,1,2,3,4,10,5,12,9,11,6,1,13,8,7,.0025906621012836695
1441372462.082091,10,363368,1,2,3,5,4,6,7,9,11,10,1,13,8,12,.002780396258458495
1441372462.082486,10,363951,1,2,3,5,4,6,12,7,11,8,1,10,13,9,.0030487990006804466
