time,combination,permutation,Indiana,Illinois,Iowa,Maryland,Michigan,Michigan_State,Minnesota,Nebraska,Northwestern,OSU,Penn_State,Purdue,Rutgers,Wisconsin,probability
1446570318.962,1,2,2,1,3,5,10,11,4,13,12,6,7,8,1,9,.07564791291952133
1446570319.342,1,3,2,1,3,5,10,12,4,11,13,6,7,8,1,9,.07717625796794891
1446570319.343,1,4,2,1,3,5,10,13,4,11,12,6,7,8,1,9,.10403842478990555
1446570319.343,1,9,2,1,3,5,12,10,4,11,13,6,7,8,1,9,.15205587446689606
1446570319.344,1,23,2,1,3,5,12,13,4,11,10,6,7,8,1,9,.17193834483623505
