time,combination,permutation,Indiana,Illinois,Iowa,Maryland,Michigan,Michigan State,Minnesota,Nebraska,Northwestern,OSU,Penn State,Purdue,Rutgers,Wisconsin,probability
1442193561.647063,1,25,1,2,3,1,4,5,6,7,8,10,9,11,12,13,.00023431083536706865
1442193561.814492,1,26,1,2,3,1,4,5,6,7,8,10,9,11,13,12,.002270224504172802
1442193561.81464,1,28,1,2,3,1,4,5,6,7,8,10,9,13,11,12,.0041089486330747604
1442193561.814771,1,148,1,2,3,1,4,5,6,7,10,8,9,13,11,12,.0054855067282915115
1442193561.814835,1,152,1,2,3,1,4,5,6,7,11,8,9,10,13,12,.006289343815296888
1442193561.815046,1,530,1,2,3,1,4,5,6,7,10,11,9,13,8,12,.00809930544346571
1442193561.815107,1,536,1,2,3,1,4,5,6,7,11,10,9,13,8,12,.011296216398477554
1442193561.815465,1,1256,1,2,3,1,4,5,6,11,7,10,9,13,8,12,.013999098911881447
1442193561.819192,1,10047,1,2,3,1,4,5,12,6,11,10,9,13,8,7,.01577218435704708
1442193561.823798,1,20648,1,2,3,1,4,5,7,9,11,10,6,13,8,12,.02075442112982273
1442193561.824599,1,22191,1,2,3,1,4,5,12,11,7,10,6,13,8,9,.023072458803653717
1442193561.82589,1,25119,1,2,3,1,4,5,12,9,11,10,6,13,8,7,.02467253804206848
1442193562.043755,1,387999,1,2,3,1,5,4,12,9,11,10,6,13,8,7,.025167837738990784
1442193562.110344,1,506739,1,2,3,1,10,4,12,11,5,7,6,13,8,9,.025482995435595512
1442193562.145194,1,545546,1,2,3,1,10,4,7,9,11,5,6,13,8,12,.026037169620394707
1442193562.14596,1,547059,1,2,3,1,10,4,12,11,7,5,6,13,8,9,.028945233672857285
1442193562.146926,1,549291,1,2,3,1,10,4,12,9,11,5,6,13,8,7,.030952589586377144
1442193562.276029,1,788906,1,2,3,1,10,5,4,9,11,7,6,13,8,12,.0330597423017025
1442193562.47283,1,1110829,1,2,3,1,5,11,12,4,7,10,6,13,8,9,.03492812439799309
1442193562.488834,1,1149075,1,2,3,1,10,5,12,4,11,6,9,13,8,7,.0357142798602581
1442193562.489537,1,1150417,1,2,3,1,10,5,7,4,11,12,6,13,8,9,.037228457629680634
1442193562.489889,1,1151139,1,2,3,1,10,5,12,4,7,11,6,13,8,9,.039887934923172
1442193562.490264,1,1151859,1,2,3,1,10,5,12,4,11,7,6,13,8,9,.046441566199064255
1442193563.954223,1,3649448,1,2,4,1,3,5,7,9,11,10,6,13,8,12,.04698297753930092
1442193563.955112,1,3650991,1,2,4,1,3,5,12,11,7,10,6,13,8,9,.052230458706617355
1442193563.956596,1,3653919,1,2,4,1,3,5,12,9,11,10,6,13,8,7,.055852655321359634
1442193564.633121,1,4779231,1,2,12,1,3,5,7,4,11,10,6,13,8,9,.06506723165512085
1442193568.872362,1,12037551,1,2,12,1,5,11,3,4,7,10,6,13,8,9,.06709156185388565
1442193568.905776,1,12075801,1,2,12,1,10,5,3,4,11,6,9,13,8,7,.06860165297985077
1442193568.906766,1,12077865,1,2,12,1,10,5,3,4,7,11,6,13,8,9,.07661859691143036
1442193568.907118,1,12078585,1,2,12,1,10,5,3,4,11,7,6,13,8,9,.08920711278915405
