time,combination,permutation,Indiana,Illinois,Iowa,Maryland,Michigan,Michigan_State,Minnesota,Nebraska,Northwestern,OSU,Penn_State,Purdue,Rutgers,Wisconsin,probability
1446570203.801,1,2,2,1,3,10,11,4,5,13,12,6,7,8,1,9,.01220517884939909
1446570204.192,1,3,2,1,3,10,12,4,5,11,13,6,7,8,1,9,.039575230330228806
1446570204.192,1,9,2,1,3,12,10,4,5,11,13,6,7,8,1,9,.1960369199514389
