0,19009,0.032000,0.010484030945625469,0,Indiana,0.7819,1,Iowa,0.8548,2,Maryland,0.6501,3,Michigan,0.7923,4,Michigan_State,0.6501,5,OSU,0.8944,6,Rutgers,0.6395,7,Northwestern,0.6685,8,Penn_State,0.658,9,Minnesota,0.5932,10,Purdue,0.4829,11,Nebraska,0.8564,12,Wisconsin,0.8023,0,Illinois,0.946
0,9,0.000000,0.0032663269016150716,0,Illinois,0.946,1,Iowa,0.8548,2,Maryland,0.6501,3,Michigan,0.7923,4,Michigan_State,0.6501,5,Minnesota,0.3499,6,Nebraska,0.6915,7,Northwestern,0.6685,8,OSU,0.8482,9,Purdue,0.4068,10,Wisconsin,0.8498,11,Penn_State,0.6659,12,Rutgers,0.446,1,Indiana,0.8564
0,13,0.000000,0.004616006669866058,0,Illinois,0.946,1,Iowa,0.8548,2,Maryland,0.6501,3,Michigan,0.7923,4,Michigan_State,0.6501,5,Minnesota,0.3499,6,Nebraska,0.6915,7,Northwestern,0.6685,8,OSU,0.8482,9,Rutgers,0.5624,10,Purdue,0.4829,11,Penn_State,0.6659,12,Wisconsin,0.8023,1,Indiana,0.8564
0,0,0.000000,0.004571437366275273,0,Illinois,0.946,1,Indiana,0.8564,2,Iowa,0.9916,3,Michigan,0.7923,4,Michigan_State,0.6501,5,Minnesota,0.3499,6,Nebraska,0.6915,7,Northwestern,0.6685,8,OSU,0.8482,9,Penn_State,0.5848,10,Purdue,0.4829,11,Wisconsin,0.6711,12,Rutgers,0.446,0,Maryland,0.9527
0,9,0.000000,0.005552744000652397,0,Illinois,0.946,1,Indiana,0.8564,2,Iowa,0.9916,3,Michigan,0.7923,4,Michigan_State,0.6501,5,Minnesota,0.3499,6,Nebraska,0.6915,7,Northwestern,0.6685,8,OSU,0.8482,9,Purdue,0.4068,10,Wisconsin,0.8498,11,Penn_State,0.6659,12,Rutgers,0.446,0,Maryland,0.9527
0,13,0.000000,0.007847194758857855,0,Illinois,0.946,1,Indiana,0.8564,2,Iowa,0.9916,3,Michigan,0.7923,4,Michigan_State,0.6501,5,Minnesota,0.3499,6,Nebraska,0.6915,7,Northwestern,0.6685,8,OSU,0.8482,9,Rutgers,0.5624,10,Purdue,0.4829,11,Penn_State,0.6659,12,Wisconsin,0.8023,0,Maryland,0.9527
0,0,0.000000,0.0031194409906744576,0,Illinois,0.946,1,Indiana,0.8564,2,Maryland,0.6501,3,Michigan,0.7923,4,Michigan_State,0.6501,5,Minnesota,0.3499,6,Nebraska,0.6915,7,Northwestern,0.6685,8,OSU,0.8482,9,Penn_State,0.5848,10,Purdue,0.4829,11,Wisconsin,0.6711,12,Rutgers,0.446,2,Iowa,0.9916
0,9,0.003000,0.003789061482968536,0,Illinois,0.946,1,Indiana,0.8564,2,Maryland,0.6501,3,Michigan,0.7923,4,Michigan_State,0.6501,5,Minnesota,0.3499,6,Nebraska,0.6915,7,Northwestern,0.6685,8,OSU,0.8482,9,Purdue,0.4068,10,Wisconsin,0.8498,11,Penn_State,0.6659,12,Rutgers,0.446,2,Iowa,0.9916
0,13,0.005000,0.00535474054028917,0,Illinois,0.946,1,Indiana,0.8564,2,Maryland,0.6501,3,Michigan,0.7923,4,Michigan_State,0.6501,5,Minnesota,0.3499,6,Nebraska,0.6915,7,Northwestern,0.6685,8,OSU,0.8482,9,Rutgers,0.5624,10,Purdue,0.4829,11,Penn_State,0.6659,12,Wisconsin,0.8023,2,Iowa,0.9916
0,23823,0.047000,0.012447424451058819,0,Indiana,0.7819,1,Iowa,0.8548,2,Maryland,0.6501,3,Michigan,0.7923,4,Michigan_State,0.6501,5,Penn_State,0.8253,6,Rutgers,0.6395,7,Minnesota,0.6015,8,OSU,0.8482,9,Purdue,0.4068,10,Wisconsin,0.8498,11,Nebraska,0.8564,12,Northwestern,0.7375,0,Illinois,0.946
0,24049,0.048000,0.012470409738236212,0,Indiana,0.7819,1,Iowa,0.8548,2,Maryland,0.6501,3,Michigan,0.7923,4,Michigan_State,0.6501,5,Penn_State,0.8253,6,Rutgers,0.6395,7,Northwestern,0.6685,8,OSU,0.8482,9,Minnesota,0.5932,10,Purdue,0.4829,11,Nebraska,0.8564,12,Wisconsin,0.8023,0,Illinois,0.946
0,3632,0.014000,0.005121098520472012,0,Illinois,0.946,1,Iowa,0.8548,2,Maryland,0.6501,3,Michigan,0.7923,4,Michigan_State,0.6501,5,Minnesota,0.3499,6,Rutgers,0.6395,7,Nebraska,0.8325,8,OSU,0.8482,9,Penn_State,0.5848,10,Purdue,0.4829,11,Wisconsin,0.6711,12,Northwestern,0.7375,1,Indiana,0.8564
0,3640,0.014000,0.006220395645378844,0,Illinois,0.946,1,Iowa,0.8548,2,Maryland,0.6501,3,Michigan,0.7923,4,Michigan_State,0.6501,5,Minnesota,0.3499,6,Rutgers,0.6395,7,Nebraska,0.8325,8,OSU,0.8482,9,Purdue,0.4068,10,Wisconsin,0.8498,11,Penn_State,0.6659,12,Northwestern,0.7375,1,Indiana,0.8564
0,3632,0.016000,0.008705849090683568,0,Illinois,0.946,1,Indiana,0.8564,2,Iowa,0.9916,3,Michigan,0.7923,4,Michigan_State,0.6501,5,Minnesota,0.3499,6,Rutgers,0.6395,7,Nebraska,0.8325,8,OSU,0.8482,9,Penn_State,0.5848,10,Purdue,0.4829,11,Wisconsin,0.6711,12,Northwestern,0.7375,0,Maryland,0.9527
0,3640,0.016000,0.010574650254536024,0,Illinois,0.946,1,Indiana,0.8564,2,Iowa,0.9916,3,Michigan,0.7923,4,Michigan_State,0.6501,5,Minnesota,0.3499,6,Rutgers,0.6395,7,Nebraska,0.8325,8,OSU,0.8482,9,Purdue,0.4068,10,Wisconsin,0.8498,11,Penn_State,0.6659,12,Northwestern,0.7375,0,Maryland,0.9527
0,3632,0.020000,0.005940665995437588,0,Illinois,0.946,1,Indiana,0.8564,2,Maryland,0.6501,3,Michigan,0.7923,4,Michigan_State,0.6501,5,Minnesota,0.3499,6,Rutgers,0.6395,7,Nebraska,0.8325,8,OSU,0.8482,9,Penn_State,0.5848,10,Purdue,0.4829,11,Wisconsin,0.6711,12,Northwestern,0.7375,2,Iowa,0.9916
0,3640,0.020000,0.00721589181324013,0,Illinois,0.946,1,Indiana,0.8564,2,Maryland,0.6501,3,Michigan,0.7923,4,Michigan_State,0.6501,5,Minnesota,0.3499,6,Rutgers,0.6395,7,Nebraska,0.8325,8,OSU,0.8482,9,Purdue,0.4068,10,Wisconsin,0.8498,11,Penn_State,0.6659,12,Northwestern,0.7375,2,Iowa,0.9916
0,15158,0.073000,0.012020014692885037,0,Illinois,0.946,1,Indiana,0.8564,2,Iowa,0.9916,3,Michigan,0.7923,4,Michigan_State,0.6501,5,OSU,0.8944,6,Minnesota,0.463,7,Nebraska,0.8325,8,Penn_State,0.658,9,Rutgers,0.5624,10,Purdue,0.4829,11,Wisconsin,0.6711,12,Northwestern,0.7375,0,Maryland,0.9527
0,15277,0.073000,0.013399430958351258,0,Illinois,0.946,1,Indiana,0.8564,2,Iowa,0.9916,3,Michigan,0.7923,4,Michigan_State,0.6501,5,OSU,0.8944,6,Minnesota,0.463,7,Northwestern,0.6685,8,Penn_State,0.658,9,Rutgers,0.5624,10,Purdue,0.4829,11,Nebraska,0.8564,12,Wisconsin,0.8023,0,Maryland,0.9527
0,15158,0.076000,0.0070706118172503465,0,Illinois,0.946,1,Iowa,0.8548,2,Maryland,0.6501,3,Michigan,0.7923,4,Michigan_State,0.6501,5,OSU,0.8944,6,Minnesota,0.463,7,Nebraska,0.8325,8,Penn_State,0.658,9,Rutgers,0.5624,10,Purdue,0.4829,11,Wisconsin,0.6711,12,Northwestern,0.7375,1,Indiana,0.8564
0,15158,0.077000,0.008202174401012452,0,Illinois,0.946,1,Indiana,0.8564,2,Maryland,0.6501,3,Michigan,0.7923,4,Michigan_State,0.6501,5,OSU,0.8944,6,Minnesota,0.463,7,Nebraska,0.8325,8,Penn_State,0.658,9,Rutgers,0.5624,10,Purdue,0.4829,11,Wisconsin,0.6711,12,Northwestern,0.7375,2,Iowa,0.9916
0,15277,0.077000,0.009143455511728934,0,Illinois,0.946,1,Indiana,0.8564,2,Maryland,0.6501,3,Michigan,0.7923,4,Michigan_State,0.6501,5,OSU,0.8944,6,Minnesota,0.463,7,Northwestern,0.6685,8,Penn_State,0.658,9,Rutgers,0.5624,10,Purdue,0.4829,11,Nebraska,0.8564,12,Wisconsin,0.8023,2,Iowa,0.9916
0,15277,0.077000,0.007882034864285894,0,Illinois,0.946,1,Iowa,0.8548,2,Maryland,0.6501,3,Michigan,0.7923,4,Michigan_State,0.6501,5,OSU,0.8944,6,Minnesota,0.463,7,Northwestern,0.6685,8,Penn_State,0.658,9,Rutgers,0.5624,10,Purdue,0.4829,11,Nebraska,0.8564,12,Wisconsin,0.8023,1,Indiana,0.8564
0,18063,0.090000,0.014406233319996018,0,Illinois,0.946,1,Indiana,0.8564,2,Iowa,0.9916,3,Michigan,0.7923,4,Michigan_State,0.6501,5,OSU,0.8944,6,Purdue,0.342,7,Minnesota,0.6015,8,Penn_State,0.658,9,Rutgers,0.5624,10,Wisconsin,0.8498,11,Nebraska,0.8564,12,Northwestern,0.7375,0,Maryland,0.9527
0,18780,0.092000,0.014861149170841886,0,Illinois,0.946,1,Indiana,0.8564,2,Iowa,0.9916,3,Michigan,0.7923,4,Michigan_State,0.6501,5,OSU,0.8944,6,Rutgers,0.6395,7,Minnesota,0.6015,8,Penn_State,0.658,9,Purdue,0.4068,10,Nebraska,0.8271,11,Wisconsin,0.6711,12,Northwestern,0.7375,0,Maryland,0.9527
0,18783,0.092000,0.019485004894802954,0,Illinois,0.946,1,Indiana,0.8564,2,Iowa,0.9916,3,Michigan,0.7923,4,Michigan_State,0.6501,5,OSU,0.8944,6,Rutgers,0.6395,7,Minnesota,0.6015,8,Penn_State,0.658,9,Purdue,0.4068,10,Wisconsin,0.8498,11,Nebraska,0.8564,12,Northwestern,0.7375,0,Maryland,0.9527
0,19009,0.093000,0.019520985706329135,0,Illinois,0.946,1,Indiana,0.8564,2,Iowa,0.9916,3,Michigan,0.7923,4,Michigan_State,0.6501,5,OSU,0.8944,6,Rutgers,0.6395,7,Northwestern,0.6685,8,Penn_State,0.658,9,Minnesota,0.5932,10,Purdue,0.4829,11,Nebraska,0.8564,12,Wisconsin,0.8023,0,Maryland,0.9527
0,23823,0.099000,0.023176771992562496,0,Illinois,0.946,1,Indiana,0.8564,2,Iowa,0.9916,3,Michigan,0.7923,4,Michigan_State,0.6501,5,Penn_State,0.8253,6,Rutgers,0.6395,7,Minnesota,0.6015,8,OSU,0.8482,9,Purdue,0.4068,10,Wisconsin,0.8498,11,Nebraska,0.8564,12,Northwestern,0.7375,0,Maryland,0.9527
0,24049,0.100000,0.023219569983599808,0,Illinois,0.946,1,Indiana,0.8564,2,Iowa,0.9916,3,Michigan,0.7923,4,Michigan_State,0.6501,5,Penn_State,0.8253,6,Rutgers,0.6395,7,Northwestern,0.6685,8,OSU,0.8482,9,Minnesota,0.5932,10,Purdue,0.4829,11,Nebraska,0.8564,12,Wisconsin,0.8023,0,Maryland,0.9527
0,18063,0.105000,0.009830473686710835,0,Illinois,0.946,1,Indiana,0.8564,2,Maryland,0.6501,3,Michigan,0.7923,4,Michigan_State,0.6501,5,OSU,0.8944,6,Purdue,0.342,7,Minnesota,0.6015,8,Penn_State,0.658,9,Rutgers,0.5624,10,Wisconsin,0.8498,11,Nebraska,0.8564,12,Northwestern,0.7375,2,Iowa,0.9916
0,18780,0.106000,0.010140897529090278,0,Illinois,0.946,1,Indiana,0.8564,2,Maryland,0.6501,3,Michigan,0.7923,4,Michigan_State,0.6501,5,OSU,0.8944,6,Rutgers,0.6395,7,Minnesota,0.6015,8,Penn_State,0.658,9,Purdue,0.4068,10,Nebraska,0.8271,11,Wisconsin,0.6711,12,Northwestern,0.7375,2,Iowa,0.9916
0,18783,0.106000,0.013296107570180956,0,Illinois,0.946,1,Indiana,0.8564,2,Maryland,0.6501,3,Michigan,0.7923,4,Michigan_State,0.6501,5,OSU,0.8944,6,Rutgers,0.6395,7,Minnesota,0.6015,8,Penn_State,0.658,9,Purdue,0.4068,10,Wisconsin,0.8498,11,Nebraska,0.8564,12,Northwestern,0.7375,2,Iowa,0.9916
0,19009,0.106000,0.013320660026959768,0,Illinois,0.946,1,Indiana,0.8564,2,Maryland,0.6501,3,Michigan,0.7923,4,Michigan_State,0.6501,5,OSU,0.8944,6,Rutgers,0.6395,7,Northwestern,0.6685,8,Penn_State,0.658,9,Minnesota,0.5932,10,Purdue,0.4829,11,Nebraska,0.8564,12,Wisconsin,0.8023,2,Iowa,0.9916
0,23823,0.114000,0.015815282326403775,0,Illinois,0.946,1,Indiana,0.8564,2,Maryland,0.6501,3,Michigan,0.7923,4,Michigan_State,0.6501,5,Penn_State,0.8253,6,Rutgers,0.6395,7,Minnesota,0.6015,8,OSU,0.8482,9,Purdue,0.4068,10,Wisconsin,0.8498,11,Nebraska,0.8564,12,Northwestern,0.7375,2,Iowa,0.9916
0,24049,0.114000,0.015844486665622166,0,Illinois,0.946,1,Indiana,0.8564,2,Maryland,0.6501,3,Michigan,0.7923,4,Michigan_State,0.6501,5,Penn_State,0.8253,6,Rutgers,0.6395,7,Northwestern,0.6685,8,OSU,0.8482,9,Minnesota,0.5932,10,Purdue,0.4829,11,Nebraska,0.8564,12,Wisconsin,0.8023,2,Iowa,0.9916
