time,combination,permutation,Indiana,Illinois,Iowa,Maryland,Michigan,Michigan State,Minnesota,Nebraska,Northwestern,OSU,Penn State,Purdue,Rutgers,Wisconsin,probability
1442193131.088319,1,25,1,2,3,1,4,5,6,7,8,10,9,11,12,13,.00019825347408186644
1442193131.253655,1,26,1,2,3,1,4,5,6,7,8,10,9,11,13,12,.0026978952810168266
1442193131.253804,1,28,1,2,3,1,4,5,6,7,8,10,9,13,11,12,.003484542015939951
1442193131.253881,1,32,1,2,3,1,4,5,6,7,8,11,9,10,13,12,.0037748790346086025
1442193131.25396,1,67,1,2,3,1,4,5,6,7,8,11,12,9,13,10,.0038448921404778957
1442193131.254035,1,109,1,2,3,1,4,5,6,7,8,11,12,10,13,9,.003912502434104681
1442193131.254103,1,146,1,2,3,1,4,5,6,7,10,8,9,11,13,12,.004257573746144772
1442193131.254156,1,148,1,2,3,1,4,5,6,7,10,8,9,13,11,12,.005498988088220358
1442193131.25421,1,152,1,2,3,1,4,5,6,7,11,8,9,10,13,12,.007782320491969585
1442193131.254279,1,187,1,2,3,1,4,5,6,7,11,8,12,9,13,10,.00792666058987379
1442193131.254348,1,229,1,2,3,1,4,5,6,7,11,8,12,10,13,9,.008066044189035892
1442193131.254424,1,290,1,2,3,1,4,5,6,7,10,11,8,9,13,12,.008317307569086552
1442193131.254477,1,296,1,2,3,1,4,5,6,7,11,10,8,9,13,12,.010865551419556141
1442193131.254613,1,536,1,2,3,1,4,5,6,7,11,10,9,13,8,12,.011457754299044609
1442193131.254683,1,583,1,2,3,1,4,5,6,7,11,10,12,13,8,9,.011875476688146591
1442193131.254919,1,1016,1,2,3,1,4,5,6,11,7,10,8,9,13,12,.012655569240450859
1442193131.25506,1,1256,1,2,3,1,4,5,6,11,7,10,9,13,8,12,.013345332816243172
1442193131.255128,1,1303,1,2,3,1,4,5,6,11,7,10,12,13,8,9,.013831870630383492
1442193131.255336,1,1688,1,2,3,1,4,5,6,9,11,7,8,10,13,12,.013856535777449608
1442193131.255482,1,1939,1,2,3,1,4,5,6,9,11,7,12,13,8,10,.014882762916386127
1442193131.256597,1,3968,1,2,3,1,4,5,6,9,11,10,8,13,7,12,.01594925858080387
1442193131.264382,1,19125,1,2,3,1,4,5,12,9,11,6,8,13,7,10,.018204016610980034
1442193131.265263,1,20648,1,2,3,1,4,5,7,9,11,10,6,13,8,12,.021735431626439095
1442193131.266125,1,22191,1,2,3,1,4,5,12,11,7,10,6,13,8,9,.02330327033996582
1442193131.266516,1,22845,1,2,3,1,4,5,12,9,11,7,6,13,8,10,.025073766708374023
1442193131.487052,1,383528,1,2,3,1,5,4,7,9,11,10,6,13,8,12,.02790769375860691
1442193131.487843,1,385071,1,2,3,1,5,4,12,11,7,10,6,13,8,9,.029920756816864014
1442193131.488203,1,385725,1,2,3,1,5,4,12,9,11,7,6,13,8,10,.032194022089242935
1442193131.573793,1,506739,1,2,3,1,10,4,12,11,5,7,6,13,8,9,.032643500715494156
1442193131.590858,1,549291,1,2,3,1,10,4,12,9,11,5,6,13,8,7,.034237656742334366
1442193131.737862,1,788257,1,2,3,1,10,5,4,11,7,12,6,13,8,9,.03601719066500664
1442193131.738287,1,788906,1,2,3,1,10,5,4,9,11,7,6,13,8,12,.03969387337565422
1442193131.918818,1,1111549,1,2,3,1,5,11,12,4,10,7,6,13,8,9,.04147889465093613
1442193131.952982,1,1150417,1,2,3,1,10,5,7,4,11,12,6,13,8,9,.04195833206176758
1442193131.953845,1,1151859,1,2,3,1,10,5,12,4,11,7,6,13,8,9,.0495770238339901
1442193133.114327,1,3134331,1,2,3,1,10,8,12,9,11,5,6,13,4,7,.0502738393843174
1442193133.411417,1,3651645,1,2,4,1,3,5,12,9,11,7,6,13,8,10,.053241610527038574
1442193133.877088,1,4417071,1,2,12,1,3,5,4,11,7,10,6,13,8,9,.055493712425231934
1442193133.877491,1,4417688,1,2,9,1,3,5,4,11,10,7,6,13,8,12,.05558564513921738
1442193133.877566,1,4417725,1,2,12,1,3,5,4,9,11,7,6,13,8,10,.05970991402864456
1442193134.075243,1,4779128,1,2,9,1,3,5,7,4,11,10,6,13,8,12,.06187890097498894
1442193134.093426,1,4779231,1,2,12,1,3,5,7,4,11,10,6,13,8,9,.06464757025241852
1442193134.094479,1,4780581,1,2,9,1,3,5,12,4,11,7,6,13,8,10,.07138284295797348
1442193137.709853,1,10949546,1,2,4,1,10,5,3,9,11,7,6,13,8,12,.07236354798078537
1442193138.334283,1,12037448,1,2,9,1,5,11,3,4,7,10,6,13,8,12,.07756766676902771
1442193138.334494,1,12037551,1,2,12,1,5,11,3,4,7,10,6,13,8,9,.08103829622268677
1442193138.334798,1,12038168,1,2,9,1,5,11,3,4,10,7,6,13,8,12,.08117254823446274
1442193138.334891,1,12038271,1,2,12,1,5,11,3,4,10,7,6,13,8,9,.0848044753074646
1442193138.369478,1,12078482,1,2,9,1,10,5,3,4,11,7,6,13,8,12,.09702026844024658
1442193138.36968,1,12078585,1,2,12,1,10,5,3,4,11,7,6,13,8,9,.10136127471923828
1442193139.578758,1,14020857,1,2,12,1,10,8,3,9,11,5,6,13,4,7,.10278592258691788
