0,13,0.000140,0.0036661262145568484,0,Illinois,0.9202,1,Iowa,0.8257,2,Maryland,0.6321,3,Michigan,0.7619,4,Michigan_State,0.6554,5,Minnesota,0.3679,6,Nebraska,0.6915,7,Northwestern,0.6714,8,OSU,0.8159,9,Rutgers,0.5793,10,Purdue,0.485,11,Penn_State,0.6462,12,Wisconsin,0.7482,1,Indiana,0.8075
0,3640,0.003936,0.0044395162098139,0,Illinois,0.9202,1,Iowa,0.8257,2,Maryland,0.6321,3,Michigan,0.7619,4,Michigan_State,0.6554,5,Minnesota,0.3679,6,Rutgers,0.6227,7,Nebraska,0.8006,8,OSU,0.8159,9,Purdue,0.4183,10,Wisconsin,0.7971,11,Penn_State,0.6462,12,Northwestern,0.711,1,Indiana,0.8075
0,15158,0.015024,0.005050810590646138,0,Illinois,0.9202,1,Iowa,0.8257,2,Maryland,0.6321,3,Michigan,0.7619,4,Michigan_State,0.6554,5,OSU,0.8762,6,Minnesota,0.4676,7,Nebraska,0.8006,8,Penn_State,0.6392,9,Rutgers,0.5793,10,Purdue,0.485,11,Wisconsin,0.6227,12,Northwestern,0.711,1,Indiana,0.8075
0,15277,0.015173,0.005898967251048719,0,Illinois,0.9202,1,Iowa,0.8257,2,Maryland,0.6321,3,Michigan,0.7619,4,Michigan_State,0.6554,5,OSU,0.8762,6,Minnesota,0.4676,7,Northwestern,0.6714,8,Penn_State,0.6392,9,Rutgers,0.5793,10,Purdue,0.485,11,Nebraska,0.8241,12,Wisconsin,0.7482,1,Indiana,0.8075
0,0,0.000002,0.0025203914244792507,0,Illinois,0.9202,1,Indiana,0.8075,2,Maryland,0.6321,3,Michigan,0.7619,4,Michigan_State,0.6554,5,Minnesota,0.3679,6,Nebraska,0.6915,7,Northwestern,0.6714,8,OSU,0.8159,9,Penn_State,0.5744,10,Purdue,0.485,11,Wisconsin,0.6227,12,Rutgers,0.4527,2,Iowa,0.9819
0,9,0.000067,0.003130405407595619,0,Illinois,0.9202,1,Indiana,0.8075,2,Maryland,0.6321,3,Michigan,0.7619,4,Michigan_State,0.6554,5,Minnesota,0.3679,6,Nebraska,0.6915,7,Northwestern,0.6714,8,OSU,0.8159,9,Purdue,0.4183,10,Wisconsin,0.7971,11,Penn_State,0.6462,12,Rutgers,0.4527,2,Iowa,0.9819
0,11,0.000096,0.00341568682881254,0,Illinois,0.9202,1,Indiana,0.8075,2,Maryland,0.6321,3,Michigan,0.7619,4,Michigan_State,0.6554,5,Minnesota,0.3679,6,Nebraska,0.6915,7,Northwestern,0.6714,8,OSU,0.8159,9,Rutgers,0.5793,10,Penn_State,0.6508,11,Purdue,0.3773,12,Wisconsin,0.7482,2,Iowa,0.9819
0,13,0.000125,0.004359657660255988,0,Illinois,0.9202,1,Indiana,0.8075,2,Maryland,0.6321,3,Michigan,0.7619,4,Michigan_State,0.6554,5,Minnesota,0.3679,6,Nebraska,0.6915,7,Northwestern,0.6714,8,OSU,0.8159,9,Rutgers,0.5793,10,Purdue,0.485,11,Penn_State,0.6462,12,Wisconsin,0.7482,2,Iowa,0.9819
0,3640,0.004740,0.005279352024241575,0,Illinois,0.9202,1,Indiana,0.8075,2,Maryland,0.6321,3,Michigan,0.7619,4,Michigan_State,0.6554,5,Minnesota,0.3679,6,Rutgers,0.6227,7,Nebraska,0.8006,8,OSU,0.8159,9,Purdue,0.4183,10,Wisconsin,0.7971,11,Penn_State,0.6462,12,Northwestern,0.711,2,Iowa,0.9819
0,15158,0.036578,0.00457856761901297,0,Indiana,0.732,1,Iowa,0.8257,2,Maryland,0.6321,3,Michigan,0.7619,4,Michigan_State,0.6554,5,OSU,0.8762,6,Minnesota,0.4676,7,Nebraska,0.8006,8,Penn_State,0.6392,9,Rutgers,0.5793,10,Purdue,0.485,11,Wisconsin,0.6227,12,Northwestern,0.711,0,Illinois,0.9202
0,15277,0.036759,0.005347422944603914,0,Indiana,0.732,1,Iowa,0.8257,2,Maryland,0.6321,3,Michigan,0.7619,4,Michigan_State,0.6554,5,OSU,0.8762,6,Minnesota,0.4676,7,Northwestern,0.6714,8,Penn_State,0.6392,9,Rutgers,0.5793,10,Purdue,0.485,11,Nebraska,0.8241,12,Wisconsin,0.7482,0,Illinois,0.9202
0,18063,0.039263,0.005653188760484608,0,Indiana,0.732,1,Iowa,0.8257,2,Maryland,0.6321,3,Michigan,0.7619,4,Michigan_State,0.6554,5,OSU,0.8762,6,Purdue,0.3608,7,Minnesota,0.589,8,Penn_State,0.6392,9,Rutgers,0.5793,10,Wisconsin,0.7971,11,Nebraska,0.8241,12,Northwestern,0.711,0,Illinois,0.9202
0,18783,0.039936,0.0070451486301162285,0,Indiana,0.732,1,Iowa,0.8257,2,Maryland,0.6321,3,Michigan,0.7619,4,Michigan_State,0.6554,5,OSU,0.8762,6,Rutgers,0.6227,7,Minnesota,0.589,8,Penn_State,0.6392,9,Purdue,0.4183,10,Wisconsin,0.7971,11,Nebraska,0.8241,12,Northwestern,0.711,0,Illinois,0.9202
0,19009,0.040164,0.007150632092572073,0,Indiana,0.732,1,Iowa,0.8257,2,Maryland,0.6321,3,Michigan,0.7619,4,Michigan_State,0.6554,5,OSU,0.8762,6,Rutgers,0.6227,7,Northwestern,0.6714,8,Penn_State,0.6392,9,Minnesota,0.5817,10,Purdue,0.485,11,Nebraska,0.8241,12,Wisconsin,0.7482,0,Illinois,0.9202
0,23823,0.044481,0.008143929563971372,0,Indiana,0.732,1,Iowa,0.8257,2,Maryland,0.6321,3,Michigan,0.7619,4,Michigan_State,0.6554,5,Penn_State,0.7935,6,Rutgers,0.6227,7,Minnesota,0.589,8,OSU,0.8159,9,Purdue,0.4183,10,Wisconsin,0.7971,11,Nebraska,0.8241,12,Northwestern,0.711,0,Illinois,0.9202
0,24049,0.044719,0.008265864519996573,0,Indiana,0.732,1,Iowa,0.8257,2,Maryland,0.6321,3,Michigan,0.7619,4,Michigan_State,0.6554,5,Penn_State,0.7935,6,Rutgers,0.6227,7,Northwestern,0.6714,8,OSU,0.8159,9,Minnesota,0.5817,10,Purdue,0.485,11,Nebraska,0.8241,12,Wisconsin,0.7482,0,Illinois,0.9202
0,15158,0.058398,0.008819862845371135,0,Illinois,0.9202,1,Indiana,0.8075,2,Iowa,0.9819,3,Michigan,0.7619,4,Michigan_State,0.6554,5,OSU,0.8762,6,Minnesota,0.4676,7,Nebraska,0.8006,8,Penn_State,0.6392,9,Rutgers,0.5793,10,Purdue,0.485,11,Wisconsin,0.6227,12,Northwestern,0.711,0,Maryland,0.9282
0,15277,0.058548,0.010300937077295916,0,Illinois,0.9202,1,Indiana,0.8075,2,Iowa,0.9819,3,Michigan,0.7619,4,Michigan_State,0.6554,5,OSU,0.8762,6,Minnesota,0.4676,7,Northwestern,0.6714,8,Penn_State,0.6392,9,Rutgers,0.5793,10,Purdue,0.485,11,Nebraska,0.8241,12,Wisconsin,0.7482,0,Maryland,0.9282
0,18063,0.060828,0.010889944990528849,0,Illinois,0.9202,1,Indiana,0.8075,2,Iowa,0.9819,3,Michigan,0.7619,4,Michigan_State,0.6554,5,OSU,0.8762,6,Purdue,0.3608,7,Minnesota,0.589,8,Penn_State,0.6392,9,Rutgers,0.5793,10,Wisconsin,0.7971,11,Nebraska,0.8241,12,Northwestern,0.711,0,Maryland,0.9282
0,18783,0.061435,0.01357132837458776,0,Illinois,0.9202,1,Indiana,0.8075,2,Iowa,0.9819,3,Michigan,0.7619,4,Michigan_State,0.6554,5,OSU,0.8762,6,Rutgers,0.6227,7,Minnesota,0.589,8,Penn_State,0.6392,9,Purdue,0.4183,10,Wisconsin,0.7971,11,Nebraska,0.8241,12,Northwestern,0.711,0,Maryland,0.9282
0,19009,0.061641,0.013774525039730819,0,Illinois,0.9202,1,Indiana,0.8075,2,Iowa,0.9819,3,Michigan,0.7619,4,Michigan_State,0.6554,5,OSU,0.8762,6,Rutgers,0.6227,7,Northwestern,0.6714,8,Penn_State,0.6392,9,Minnesota,0.5817,10,Purdue,0.485,11,Nebraska,0.8241,12,Wisconsin,0.7482,0,Maryland,0.9282
0,15158,0.035141,0.006006286688816087,0,Illinois,0.9202,1,Indiana,0.8075,2,Maryland,0.6321,3,Michigan,0.7619,4,Michigan_State,0.6554,5,OSU,0.8762,6,Minnesota,0.4676,7,Nebraska,0.8006,8,Penn_State,0.6392,9,Rutgers,0.5793,10,Purdue,0.485,11,Wisconsin,0.6227,12,Northwestern,0.711,2,Iowa,0.9819
0,15277,0.035309,0.007014891539063507,0,Illinois,0.9202,1,Indiana,0.8075,2,Maryland,0.6321,3,Michigan,0.7619,4,Michigan_State,0.6554,5,OSU,0.8762,6,Minnesota,0.4676,7,Northwestern,0.6714,8,Penn_State,0.6392,9,Rutgers,0.5793,10,Purdue,0.485,11,Nebraska,0.8241,12,Wisconsin,0.7482,2,Iowa,0.9819
0,18063,0.037681,0.007416003262780957,0,Illinois,0.9202,1,Indiana,0.8075,2,Maryland,0.6321,3,Michigan,0.7619,4,Michigan_State,0.6554,5,OSU,0.8762,6,Purdue,0.3608,7,Minnesota,0.589,8,Penn_State,0.6392,9,Rutgers,0.5793,10,Wisconsin,0.7971,11,Nebraska,0.8241,12,Northwestern,0.711,2,Iowa,0.9819
